Filtered_RSSI,Raw_RSSI
-44.00, -44
-43.00, -39
-43.40, -45
-45.32, -53
-45.46, -46
-45.36, -45
-46.49, -51
-47.99, -54
-49.19, -54
-48.56, -46
-48.04, -46
-47.24, -44
-46.99, -46
-47.19, -48
-54.55, -84
-53.44, -49
-51.75, -45
-50.20, -44
-48.96, -44
-48.17, -45
-48.14, -48
-47.51, -45
-46.41, -42
-45.73, -43
-46.58, -50
-46.86, -48
-46.29, -44
-47.03, -50
-47.83, -51
-48.06, -49
-47.85, -47
-47.88, -48
-47.10, -44
-47.68, -50
-52.75, -73
-51.60, -47
-51.28, -50
-50.82, -49
-50.46, -49
-49.17, -44
-49.13, -49
-49.51, -51
-49.21, -48
-49.76, -52
-50.81, -55
-52.25, -58
-51.80, -50
-51.64, -51
-51.91, -53
-53.13, -58
-53.10, -53
-55.68, -66
-55.35, -54
-54.88, -53
-53.90, -50
-54.32, -56
-54.26, -54
-55.81, -62
-54.64, -50
-53.12, -47
-53.09, -53
-52.67, -51
-52.74, -53
-52.39, -51
-51.71, -49
-51.77, -52
-50.82, -47
-51.65, -55
-52.12, -54
-53.30, -58
-52.64, -50
-52.91, -54
-52.33, -50
-52.66, -54
-52.33, -51
-52.86, -55
-52.09, -49
-51.27, -48
-51.42, -52
-51.33, -51
-51.67, -53
-54.93, -68
-54.15, -51
-54.52, -56
-53.21, -48
-53.57, -55
-53.66, -54
-53.13, -51
-53.90, -57
-54.52, -57
-56.02, -62
-57.01, -61
-56.21, -53
-56.57, -58
-59.25, -70
-58.60, -56
-56.88, -50
-56.51, -55
-55.81, -53
-54.24, -48
-54.00, -53
-54.00, -54
-52.60, -47
-51.68, -48
-53.34, -60
-53.87, -56
-54.50, -57
-53.40, -49
-52.32, -48
-52.26, -52
-53.60, -59
-52.48, -48
-52.59, -53
-52.07, -50
-53.26, -58
-54.40, -59
-54.72, -56
-53.98, -51
-53.78, -53
-54.43, -57
-54.54, -55
-53.83, -51
-53.87, -54
-54.49, -57
-54.99, -57
-54.20, -51
-52.96, -48
-52.37, -50
-53.09, -56
-52.27, -49
-51.02, -46
-50.82, -50
-52.85, -61
-51.68, -47
-51.35, -50
-50.48, -47
-49.18, -44
-49.94, -53
-49.76, -49
-48.60, -44
-51.28, -62
-50.63, -48
-49.10, -43
-48.68, -47
-46.95, -40
-45.16, -38
-43.92, -39
-43.54, -42
-42.43, -38
-41.35, -37
-49.88, -84
-46.70, -34
-44.36, -35
-42.49, -35
-41.39, -37
-41.91, -44
-42.13, -43
-41.90, -41
-42.12, -43
-42.50, -44
-42.60, -43
-42.48, -42
-43.58, -48
-44.27, -47
-50.21, -74
-49.97, -49
-48.78, -44
-47.82, -44
-47.06, -44
-47.05, -47
-46.44, -44
-46.55, -47
-50.04, -64
-50.63, -53
-51.91, -57
-59.92, -92
-58.14, -51
-57.51, -55
-56.21, -51
-54.77, -49
-55.61, -59
-55.29, -54
-55.03, -54
-54.23, -51
-53.38, -50
-53.50, -54
-53.00, -51
-53.40, -55
-53.72, -55
-53.18, -51
-52.34, -49
-53.07, -56
-52.46, -50
-51.57, -48
-52.45, -56
-51.76, -49
-51.61, -51
-52.89, -58
-54.31, -60
-53.25, -49
-52.20, -48
-51.36, -48
-50.89, -49
-51.51, -54
-51.01, -49
-50.61, -49
-51.09, -53
-52.27, -57
-52.21, -52
-51.17, -47
-50.34, -47
-50.67, -52
-51.34, -54
-53.27, -61
-52.61, -50
-52.29, -51
-53.43, -58
-55.75, -65
-55.20, -53
-54.36, -51
-53.89, -52
-52.91, -49
-52.53, -51
-51.22, -46
-50.58, -48
-50.26, -49
-50.81, -53
-51.05, -52
-51.24, -52
-51.59, -53
-50.67, -47
-51.54, -55
-50.43, -46
-50.14, -49
-51.32, -56
-51.05, -50
-50.64, -49
-50.91, -52
-50.73, -50
-50.78, -51
-50.03, -47
-50.02, -50
-49.42, -47
-48.53, -45
-48.03, -46
-49.42, -55
-50.74, -56
-49.19, -43
-49.35, -50
-49.48, -50
-48.79, -46
-48.23, -46
-50.98, -62
-50.79, -50
-50.03, -47
-49.82, -49
-48.66, -44
-48.13, -46
-47.90, -47
-48.72, -52
-47.38, -42
-46.10, -41
-44.68, -39
-46.14, -52
-46.32, -47
-44.65, -38
-43.72, -40
-45.58, -53
-44.26, -39
-43.21, -39
-43.17, -43
-42.13, -38
-41.71, -40
-40.57, -36
-39.85, -37
-39.28, -37
-38.23, -34
-37.18, -33
-35.74, -30
-34.60, -30
-33.68, -30
-32.94, -30
-33.35, -35
-33.08, -32
-40.87, -72
-45.29, -63
-43.63, -37
-42.91, -40
-41.33, -35
-40.06, -35
-39.85, -39
-39.68, -39
-40.14, -42
-40.91, -44
-40.53, -39
-41.23, -44
-42.78, -49
-41.82, -38
-41.86, -42
-41.89, -42
-42.11, -43
-41.89, -41
-42.91, -47
-43.53, -46
-45.02, -51
-45.82, -49
-46.45, -49
-46.36, -46
-46.29, -46